benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_128_2_2_sa_ia_256_-20.o'   |  O3  runtime:  238.66666666666666  |  RL  runtime:  238.66666666666666  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s15_128_512_sub_3_256_-20.o'    |  O3  runtime:  324.6666666666667   |  RL  runtime:  324.6666666666667   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s15_512_512_mul_1_256_-20.o'    |  O3  runtime:  385.0               |  RL  runtime:  385.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s15_512_64_add_1_256_-20.o'     |  O3  runtime:  191.0               |  RL  runtime:  191.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s15_8192_8192_sub_2_256_-20.o'  |  O3  runtime:  1427.0              |  RL  runtime:  1391.6666666666667  |  improvement:  1.03X  |  improvement  geomean  so  far:  1.01X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s16_256_1024_8_2_0_-20.o'       |  O3  runtime:  2768.3333333333335  |  RL  runtime:  2768.3333333333335  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s16_64_512_4_2_256_-20.o'       |  O3  runtime:  1201.3333333333333  |  RL  runtime:  1201.3333333333333  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s17_4096_sub_0_256_-20.o'       |  O3  runtime:  599.0               |  RL  runtime:  805.0               |  improvement:  0.74X  |  improvement  geomean  so  far:  0.97X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s18_16384_in_output_256_-20.o'  |  O3  runtime:  421.6666666666667   |  RL  runtime:  421.6666666666667   |  improvement:  1.0X   |  improvement  geomean  so  far:  0.97X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s1_256_add_5_256_0.o'           |  O3  runtime:  43.0                |  RL  runtime:  43.0                |  improvement:  1.0X   |  improvement  geomean  so  far:  0.97X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s6n_64_add_2_256_-20.o'         |  O3  runtime:  51.0                |  RL  runtime:  51.0                |  improvement:  1.0X   |  improvement  geomean  so  far:  0.98X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s6_4096_sub_4_256_-20.o'        |  O3  runtime:  156.33333333333334  |  RL  runtime:  156.33333333333334  |  improvement:  1.0X   |  improvement  geomean  so  far:  0.98X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s6_64_add_5_256_-20.o'          |  O3  runtime:  60.0                |  RL  runtime:  60.0                |  improvement:  1.0X   |  improvement  geomean  so  far:  0.98X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s8n_1024_add_1_256_0.o'         |  O3  runtime:  128.0               |  RL  runtime:  128.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  0.98X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s9_1024_512_2_128_0.o'          |  O3  runtime:  135.0               |  RL  runtime:  138.66666666666666  |  improvement:  0.97X  |  improvement  geomean  so  far:  0.98X  |
