benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_1024_add_0_128_-20.o'                 |  O3  runtime:  1449.3333333333333  |  RL  runtime:  1449.3333333333333  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_1024_mul_0_128_-5.o'                  |  O3  runtime:  2262.3333333333335  |  RL  runtime:  2262.3333333333335  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_1024_mul_1_128_-15.o'                 |  O3  runtime:  2080.6666666666665  |  RL  runtime:  2080.6666666666665  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_128_mul_3_128_-15.o'                  |  O3  runtime:  616.3333333333334   |  RL  runtime:  616.3333333333334   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_16384_add_3_128_-5.o'                 |  O3  runtime:  2256.0              |  RL  runtime:  2256.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_16384_mul_4_128_-15.o'                |  O3  runtime:  2367.3333333333335  |  RL  runtime:  2367.3333333333335  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_2048_add_2_128_-15.o'                 |  O3  runtime:  1430.3333333333333  |  RL  runtime:  1430.3333333333333  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_2048_mul_0_128_-15.o'                 |  O3  runtime:  1948.3333333333333  |  RL  runtime:  1948.3333333333333  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_2048_sub_2_128_-15.o'                 |  O3  runtime:  683.3333333333334   |  RL  runtime:  683.3333333333334   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_2048_sub_4_128_-5.o'                  |  O3  runtime:  683.6666666666666   |  RL  runtime:  683.6666666666666   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_256_add_2_128_-5.o'                   |  O3  runtime:  1075.3333333333333  |  RL  runtime:  1075.3333333333333  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_4096_add_1_128_-5.o'                  |  O3  runtime:  1598.6666666666667  |  RL  runtime:  1598.6666666666667  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
