benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_1024_add_3_128_-20.o'                   |  O3  runtime:  1351.3333333333333  |  RL  runtime:  1351.3333333333333  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_1024_sub_0_128_-15.o'                   |  O3  runtime:  637.6666666666666   |  RL  runtime:  637.6666666666666   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_1024_sub_4_128_-15.o'                   |  O3  runtime:  640.3333333333334   |  RL  runtime:  640.3333333333334   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_16384_add_4_128_-15.o'                  |  O3  runtime:  1364.0              |  RL  runtime:  1364.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_16384_sub_0_128_-20.o'                  |  O3  runtime:  658.3333333333334   |  RL  runtime:  658.3333333333334   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_2048_add_1_128_-10.o'                   |  O3  runtime:  1322.6666666666667  |  RL  runtime:  1322.6666666666667  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_256_add_3_128_-15.o'                    |  O3  runtime:  1046.3333333333333  |  RL  runtime:  1046.3333333333333  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_256_mul_2_128_-10.o'                    |  O3  runtime:  570.0               |  RL  runtime:  570.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_4096_add_3_128_-15.o'                   |  O3  runtime:  1360.3333333333333  |  RL  runtime:  1360.3333333333333  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_4096_mul_3_128_-15.o'                   |  O3  runtime:  1823.0              |  RL  runtime:  1823.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_512_add_0_128_-20.o'                    |  O3  runtime:  1084.6666666666667  |  RL  runtime:  1084.6666666666667  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_512_sub_2_128_-10.o'                    |  O3  runtime:  565.0               |  RL  runtime:  565.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_512_sub_4_128_-20.o'                    |  O3  runtime:  566.3333333333334   |  RL  runtime:  566.3333333333334   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s10_64_add_1_128_-15.o'                     |  O3  runtime:  811.6666666666666   |  RL  runtime:  811.6666666666666   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
