benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_2048_add_5_256_0.o'                    |  O3  runtime:  139.66666666666666  |  RL  runtime:  139.66666666666666  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_8192_mul_2_256_-20.o'                  |  O3  runtime:  205.33333333333334  |  RL  runtime:  205.33333333333334  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_2048_2_2_in1_out1_256_-20.o'         |  O3  runtime:  845.0               |  RL  runtime:  845.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_256_2_input1_out1_128_20.o'          |  O3  runtime:  863.3333333333334   |  RL  runtime:  863.3333333333334   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_512_2_in1_out1_16_0.o'               |  O3  runtime:  857.6666666666666   |  RL  runtime:  857.6666666666666   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_16384_2_2_short_a_assign1_256_-20.o'  |  O3  runtime:  940.6666666666666   |  RL  runtime:  940.6666666666666   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_256_2_2_short_a_ia_256_-20.o'         |  O3  runtime:  214.66666666666666  |  RL  runtime:  214.66666666666666  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_4096_2_input1_ia_128_-20.o'           |  O3  runtime:  954.6666666666666   |  RL  runtime:  954.6666666666666   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12_512_2_2_short_a_assign_256_-20.o'      |  O3  runtime:  108.0               |  RL  runtime:  108.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12_512_2_4_sa_result_256_-20.o'           |  O3  runtime:  109.0               |  RL  runtime:  109.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12_64_short_a_out_256_-20.o'              |  O3  runtime:  117.0               |  RL  runtime:  117.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s13_4096_mul_4_32_15.o'                    |  O3  runtime:  326.3333333333333   |  RL  runtime:  326.3333333333333   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s13_4096_sub_1_64_15.o'                    |  O3  runtime:  466.6666666666667   |  RL  runtime:  466.6666666666667   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
